Index,Word List,N_Ltr,N_PG,NMorph,NSyll,POS,Occurrences,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,BiphonP_Un,PLD20,Sem_N_D,Phonographic_N,PG_Prob_Mean,PG_Prob_Min,GP_Prob_Mean,GP_Prob_Min,GP_Freq_Mean,GP_Freq_Min,P_Freq_Mean,P_Freq_Min,G_Freq_Mean,G_Freq_Min,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14,PG15,OR_Prob_Mean,OR_Prob_Min,OR_Freq_Mean,OR_Freq_Min,Onset1,Rime1,Onset2,Rime2,Onset3,Rime3,Onset4,Rime4,Onset5,Rime5,Onset6,Rime6
8845,violated,8,8,3,3,VB|JJ,1,2.369215857,1,2.65,1,2.9,0.5633229,0,0.6528,0.0928,0.6071,0.1096,2.5556125,1.5185,2.8481,2.2878,2.90305,1.8865,v+v,aɪ+i,ə+o,l+l,eɪ+a,t+t,ɪ+e,d+d,,,,,,,,0.589742857142857,0.1682,2.60757142857143,2.2227,v+v,aɪ+i,,ə+o,l+l,eɪ+a,t+t,ɪd+ed,,,,
8380,tinker,6,6,1,2,VB|NN,1,2.056904851,1,1.65,1,1.7,0.42727718,4,0.699083333333333,0.1968,0.71335,0.0843,2.73635,2.0212,2.94171666666667,2.1732,2.99981666666667,2.238,t+t,ɪ+i,ŋ+n,k+k,ɚ+e,ɹ+r,,,,,,,,,,0.7804,0.1319,2.3058,1.5682,t+t,ɪŋ+in,k+k,ɚɹ+er,,,,,,,,
1120,burp,4,4,1,1,NN|VB,1,1.826074803,1,1.7,1,1.45,0.21630214,4,0.766325,0.0806,0.78855,0.1542,2.75755,2.2095,3.032,2.4594,2.95995,2.4548,b+b,ɚ+u,ɹ+r,p+p,,,,,,,,,,,,1,1,1.6617,0.4771,b+b,ɚɹp+urp,,,,,,,,,,
3391,gingham,7,5,1,2,NN,1,1,1,3.3,1,2.25,0.21110255,0,0.57456,0.0058,0.9388,0.819,2.08732,0.4771,2.64738,2.1732,2.1162,0.4771,g+g,ɪ+i,ŋ+ng,ə+ha,m+m,,,,,,,,,,,0.928033333333333,0.7841,1.41413333333333,0.4771,g+g,ɪŋ+ing,,əm+ham,,,,,,,,
981,breathe,7,4,1,1,VB,1,3.393575203,1,1.9,1,1.65,0.52866536,0,0.757575,0.0351,0.72815,0.1209,2.186525,1.0792,2.5453,1.0792,2.4319,1.3979,b+b,ɹ+r,i+ea_e,ð+th,,,,,,,,,,,,1,1,1.21565,0.301,bɹ+br,ið+ea_eth,,,,,,,,,,
775,blast,5,5,1,1,NN|VB,1,2.916980047,1,1.65,1,1.65,0.59685135,1,0.92592,0.8523,0.87084,0.4635,2.91522,2.444,2.94944,2.5132,2.992,2.4942,b+b,l+l,æ+a,s+s,t+t,,,,,,,,,,,0.9091,0.8182,1.4934,1,bl+bl,æst+ast,,,,,,,,,,
3003,fireman,7,6,2,2,NN,1,2.176091259,1,2.65,1,2.65,0.42516825,1,0.7445,0.1429,0.798416666666667,0.1828,2.79521666666667,2.4771,2.9963,2.738,2.954,2.6928,f+f,aɪ+i_e,ɹ+r,m+m,ə+a,n+n,,,,,,,,,,0.89655,0.5862,2.05495,0.8451,f+f,aɪɹ+i_er,m+m,ən+an,,,,,,,,
867,bone,4,3,1,1,NN|VB,1,3.123851641,1,1.1,1,1,0.6131022,11,0.802233333333333,0.4267,0.840966666666667,0.5229,2.74296666666667,2.2068,2.8687,2.5752,2.8364,2.4871,b+b,oʊ+o_e,n+n,,,,,,,,,,,,,0.9483,0.8966,2.13885,1.4314,b+b,oʊn+o_en,,,,,,,,,,
663,behave,6,5,1,2,VB,1,2.918554531,1,2.15,1,2.4,0.55316424,1,0.75072,0.2719,0.7644,0.2458,2.45176,1.9912,2.6258,1.9912,2.62124,1.9912,b+b,ɪ+e,h+h,eɪ+a_e,v+v,,,,,,,,,,,0.785975,0.2492,2.18455,1.2553,b+b,ɪ+e,h+h,eɪv+a_ev,,,,,,,,
8083,syllable,8,7,2,3,NN,1,1.633468456,1,2.65,1,2.05,0.59934932,0,0.481985714285714,0.0233,0.775771428571429,0.2391,2.54342857142857,1.5315,3.09481428571429,2.7551,2.72048571428571,2.143,s+s,ɪ+y,l+ll,ə+a,b+b,ə+_e,l+l,,,,,,,,,0.761183333333333,0.2345,2.44341666666667,1.5441,s+s,ɪ+y,l+ll,ə+a,b+b,əl+_el,,,,,,
